O;T
21352,91;6859,47
25497,43;7064,68
25567,73;7723,06
20980,26;7412,02
18551,69;5765,81
21024,97;6731,94
23403,53;6892,41
23582,64;7141,20
23929,15;7494,57
16385,37;6079,85
18876,52;6668,08
14332,09;4735,55
12446,71;3834,24
21876,17;6069,71
21144,41;6186,21
21342,11;6765,01
19100,13;5840,03
18822,37;5728,93
16359,81;5332,06
17178,98;4856,95
16530,10;5006,43
8392,35;1144,59
